link,product_name,map_title,description,date,cartographer,source,image_link,id,width,height
http://www.geographicus.com/P/AntiqueMap/NorthwestPassage-schraembl-1788,"Antique Map: 1788 Schraembl Map of the Northwest Passage (Alaska, Pacific Northwest)",Karte von den N.W. Amerikanischen und N.OE. Asiatischen Kusten nach den Untersuchungen des Kapit. Cook in den Jah. 1778 und 1779,"A rare German language variant of Cook’s map of his explorations along the northwest coast of America and the northeast coast of Asia.   Based upon original work by Cook’s cartographer Henry Roberts.  Depicts much of Siberia and Kamtschaka in Asia and, in America, shows Canada as far east as the western portions of Hudson Bay.  Alaska and Asia are shown with considerable accuracy though Vancouver Island is missing.  Shows several lakes west of Hudson Bay in what is today northwestern Canada. Numerous depth soundings detailed along the exploration tracks.  In addition to Cook’s work, also notes the explorations of Bodega and the inland discoveries of Hearn, and others.    Engraved by I.C. Lackner for the 1788 edition of the  Allgemeiner Grosser Atlas , plate no. 107.",1788 (dated),http://www.geographicus.com/mm5/cartographers/schraembl.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/NorthwestPassage-schraembl-1788.jpg,NorthwestPassage-schraembl-1788,27,15.5
http://www.geographicus.com/P/AntiqueMap/SpainPortugal-j-62,Antique Map: 1862 Johnson Map of Spain and Portugal,Johnson's Spain and Portugal.,"This is Johnson and Ward’s 1862 map of Spain and Portugal.  Covers the region with particular attention to transportation, cities, and waterways.  Lower right hand quadrant has an inset map of Gibraltar.  Includes the Balearic Island of Ibiza, Majorca and Minorca.  Features the ribbon style border common to Johnson’s atlas work from 1860 to 1862.  Steel plate engraving prepared by A. J. Johnson for publication as plate no. 75 in the 1862 edition of his  New Illustrated Atlas…   This is the first edition of the Johnson’s  Atlas  to bear the Johnson and Ward imprint.",1862 (undated),http://www.geographicus.com/mm5/cartographers/johnson.txt,"Johnson, A. J., <i>Johnson's New Illustrated (Steel Plate) Family Atlas with Descriptions, Geographical, Statistical, and Historical.</i> (1862 A. J. Johnson & Ward edition)",http://www.geographicus.com/mm5/graphics/00000001/L/SpainPortugal-j-62.jpg,SpainPortugal-j-62,16,12.5
http://www.geographicus.com/P/AntiqueMap/SanFrancisco-uscs-1857,Antique Map: 1857 U.S.C.S. Map of San Francisco Bay,Sketch J Showing the Progress of the Survey in Section No. X (middle sheet) From pt. Sal to Tomales Bay.  ,"A rare nautical triangulation chart of the California coast from Pt. Sal to Tomales Bay, including the San Francisco Bay area, by the U. S. Coast Survey, 1857.  Depicts the much of the shoreline of southern California with numerous notations regarding the various ports and sailing references.  Produced in 1857 under the Supervision of A. D. Bache, the most influential leader of the Coast Survey.  Dated.",1857,http://www.geographicus.com/mm5/cartographers/uscs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/SanFrancisco-uscs-1857.jpg,SanFrancisco-uscs-1857,24.5,19.5
http://www.geographicus.com/P/AntiqueMap/WashingtonDC-mitchell-1866,Antique Map: 1866 Mitchell Map of Washington D.C.,Plan of the City of Washington The Capitol of the United States of America.,"A rare 1866 Map of Washington D.C. by American map publisher S. A. Mitchell Jr.  Depicts the city shortly following Lincoln’s assassination.  Important buildings such as the capitol, the Arsenal, the Smithsonian Institute, the White House, etc.  are individually drawn in and labeled.  Offers wonderful detail at the street level including references to parks, individual streets, piers, ferries, and important buildings. Colored coded with pastels according to city wards. Includes Georgetown.   Based upon the original plan of Washington D. C. developed by French architect Pierre-Charles L'Enfant .  Surrounded by the attractive floral border common to Mitchell atlases between 1860 and 1866.  Prepared by S. A. Mitchell Jr. for inclusion as plate 26 in the 1866 issue of  Mitchell’s New General Atlas .  Like many American map publishers of this period, Mitchell did not regularly update his copyrights, consequently this map is dated and copyrighted to 1861: “Entered according to Act of Congress in the Year 1861 by S. Augustus Mitchell Jr. in the Clerk’s Office of the District Court of the U.S. for the Eastern District of Pennsylvania.",1866 (dated 1861),http://www.geographicus.com/mm5/cartographers/mitchell.txt,"Mitchell, S. A., <i>Mitchell's New General Atlas Containing Maps of the Various Countries of the World, Plans of Cities, Etc., embraced in Fifty-Five Quarto Maps, Forming a series of Eight-Seven Maps and Plans, together with Valuable Statistical Tables</i>, 1866 edition.",http://www.geographicus.com/mm5/graphics/00000001/L/WashingtonDC-mitchell-1866.jpg,WashingtonDC-mitchell-1866,14,11.5
http://www.geographicus.com/P/AntiqueMap/London-gentsmag-1764,Antique Map: 1764 Gentleman's Magazine Map of London and Environs,An Accurate Map of the Country Sixteen Miles Round London Drawn and Engrav'd from an Actual Survey.,"This is a rare and unusual c. 1764 Map of London, England and the environs sixteen miles around.  Published by  Gentleman's Magazine  in four separate issues with publisher’s instruction on how to bind them into a single map.  Covers the London area in considerable detail with good references to churches, Gentlemen's Seats, buildings villages, Water Mills and Wind mills.  Altogether fascinating references show market towns and indicates the days when the markets are active – a practice common in rural areas but rarely seen in London today. A rare and wonderful insight into old-time London.",1764,http://www.geographicus.com/mm5/cartographers/gentlemansmag.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/London-gentsmag-1764.jpg,London-gentsmag-1764,16,16
http://www.geographicus.com/P/AntiqueMap/NYC-HomeLife-1899,Antique Map: 1899 Home Life Map of New York City ( Manhattan and the Bronx ),Home Life Publishing Co. The City of New York Northern Part of the Borough of Manhattan and part of the Borough of the Bronx - Home Life Publishing Co. The City of New York South Part of the Borough of Manhattan.  ,"This is an unusual 1899 Map of Manhattan and the Bronx by the Home Life publishing company.  It is based upon a very similar c. 1860 map of New York City by Fisk and Russell.  This is one of the rare 19th century New York City maps to focus on Northern Manhattan and the Bronx.  Covers the city in considerable detail to the level that even important buildings and parks are noted.  Dated and copyrighted at the bottom, 1899.",1899,http://www.geographicus.com/mm5/cartographers/unknown.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/NYC-HomeLife-1899.jpg,NYC-HomeLife-1899,25,20
http://www.geographicus.com/P/AntiqueMap/CA-m-1881,Antique Map: 1881 Mitchell Map of California w/ San Francisco Inset,County Map of the State of California,"This hand colored map is a lithographic engraving, dating to 1881 by the legendary American Mapmaker S.A. Mitchell, the younger. It represents the state of California.  Includes a large and detailed inset of the city of San Francisco.  Streets, trains, and even important buildings are clearly labeled. Dated and copyrighted 1881.",1872,http://www.geographicus.com/mm5/cartographers/mitchell.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/CA-m-1881.jpg,CA-m-1881,22,15
http://www.geographicus.com/P/AntiqueMap/HemiWest-c-55,Antique Map: 1855 Colton Map of the Western Hemisphere,Western Hemisphere  ,"Map of the Western Hemisphere from J. H. Colton’s 1855 Atlas of the World.  Map is a lithograph from a steel plate engraving.  Beautiful hand color.  Fantastic detail. Printed on 172 William Street in New York, 1855.",1855,http://www.geographicus.com/mm5/cartographers/colton.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/HemiWest-c-55.jpg,HemiWest-c-55,16,14
http://www.geographicus.com/P/AntiqueMap/AthensPlan2-white-1793,Antique Map: 1784 Bocage Map of the City of Athens in Ancient Greece,Athens,"This lovely little map or city plan of Athens in Ancient Greece, was prepared by M. Barbie de Bocage in 1784 for the “Travels of Anarcharsis”.  Athens, capital of the Athenian Empire, was the heart of Ancient Greek culture and the quintessential Ancient Greek city state.  This plan of Athens, based on excavations and ancient sources offers impressive and accurate detail.",1784,http://www.geographicus.com/mm5/cartographers/bocage.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/AthensPlan2-white-1793.jpg,AthensPlan2-white-1793,13,9
http://www.geographicus.com/P/AntiqueMap/Athens-white-1793,"Antique Map: 1785 Bocage Map of Athens and Environs, including Piraeus, in Ancient Greece",Athens with Piraeus,"This lovely little map or city plan of Athens and Environs in Ancient Greece, was prepared by M. Barbie de Bocage in 1784 for the “Travels of Anarcharsis”.  Athens, capital of the Athenian Empire, was the heart of Ancient Greek culture and the quintessential Ancient Greek city state.  It was here that Greek philosophy and literature as well as the concept of democracy first evolved. This plan of Athens, based on excavations and ancient sources offers impressive and accurate detail.  Includes the Long Walls, build to protect merchants as they passed from Athens to the port city of Piraeus.  Also includes the Academy of Plato.",1785,http://www.geographicus.com/mm5/cartographers/bocage.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Athens-white-1793.jpg,Athens-white-1793,9,7
