text,genre
"La reina viuda doña Mariana de Austria La reina viuda doña Mariana de Austria Mariana Austriakoa andrea erregina alarguna Queen Mariana de Austria as a Widow La reina viuda doña Mariana de Austria La reina viuda doña Mariana de Austria Mariana Austriakoa andrea erregina alarguna Queen Mariana de Austria as a Widow La reina viuda doña Mariana de Austria La reina viuda doña Mariana de Austria Mariana Austriakoa andrea erregina alarguna Queen Mariana de Austria as a Widow taolenn gant Juan Carreño de Miranda dipinto di Juan Carreño de Miranda painting by Juan Carreño de Miranda quadre de Juan Carreño de Miranda cuadro de Juan Carreño de Miranda pintura de Juan Carreño de Miranda pintura de Juan Carreño Miranda schilderij van Juan Carreño de Miranda Gemälde von Juan Carreño de Miranda image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande Museo del Prado Museo Nacional del Prado Pradomuseet musée du Prado Museo del Prado Museo del Prado collection Sammlung collection colección collectie samling lieu location locatie ubicación Ort placering España Spanje Spanien Spain Espagne Spanien pays d’origine country of origin país de origen ursprungsland land van oorsprong Ursprungsland Juan Carreño de Miranda Juan Carreño de Miranda Juan Carreño de Miranda Juan Carreño de Miranda Juan Carreño de Miranda Juan Carreño de Miranda creator créateur Urheber creador maker skapare catégorie Commons Commons category categoría en Commons Commons-kategori Commonscategorie Commons-Kategorie oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Velázquez Velázquez Velázquez Velázquez Velázquez Velázquez exposition exhibition history Ausstellungen geëxposeerd op historial de exposiciones utställningshistoria décrit à l'URL beskriven på URL beschreven op URL described at URL wird beschrieben in URL descrito en la URL hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd Marie-Anne d'Autriche Mariana de Austria Maria Anna von Österreich Maria Anna van Oostenrijk Maria Anna av Österrike Mariana of Austria dépeint depicts Motiv representa a beeldt af motiv numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer katalogbeteckning código del catálogo Katalognummer catalogusnummer numéro de catalogue catalog code dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status zentrales Thema hoofdonderwerp sujet ou thème principal huvudtema main subject tema principal de la obra",portrait
"Portrait d'Alexandre Lenoir Портрет Александра Ленуара Portrait d'Alexandre Lenoir Portrait d'Alexandre Lenoir Portrait d'Alexandre Lenoir Портрет Александра Ленуара Portrait d'Alexandre Lenoir Portrait d'Alexandre Lenoir Portrait d'Alexandre Lenoir Портрет Александра Ленуара Portrait d'Alexandre Lenoir Portrait d'Alexandre Lenoir schilderij van Jacques-Louis David Tableau de Jacques-Louis David painting by Jacques-Louis David Gemälde von Jacques-Louis David dipinto di Jacques-Louis David pintura de Jacques-Louis David pintura de Jacques-Louis David quadre de Jacques-Louis David cuadro de Jacques-Louis David pintura de Jacques-Louis David identifiant Joconde Joconde ID Joconde-identificatiecode Joconde Joconde image image imagen bild afbeelding Bild département des peintures du musée du Louvre Department of Paintings of the Louvre Gemäldeabteilung des Louvre departamento de pintura del Louvre schilderijcollectie Louvre Département des peintures du Louvre collection Sammlung collection colección collectie samling peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material eiken oak bois de chêne Eichenholz madera de roble ekträ Jacques-Louis David Jacques-Louis David Jacques-Louis David Jacques-Louis David Jacques-Louis David Jacques-Louis David creator créateur Urheber creador maker skapare identifiant Atlas Atlas ID identificador Atlas Atlas-identificatiecode Atlas-ID neoclassicism Klassizismus néo-classicisme neoclasicismo neoclassicisme nyklassicism mouvement movement Bewegung movimiento stroming rörelse inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande Alexandre Lenoir Alexandre Lenoir Alexandre Lenoir Alexandre Lenoir Alexandre Lenoir Alexandre Lenoir dépeint depicts Motiv representa a beeldt af motiv man varón man Mann homme man station assise sitting Sitzen zitten sittande sentado table Tisch table mesa tafel bord paper papier Papier papel papier papper Federkiel quill pluma plume ganzenveer Bläckpenna tintero inkwell Tintenfass inktpot Bläckhorn encrier Schreibgerät writing implement schrijfinstrument matériel d'écriture instrumento de escritura Orden vom Goldenen Sporn ordre de l'Éperon d'or Order of the Golden Spur Gyllene sporrens eller S:t Sylvesters orden Orde van het Gulden Spoor Orden de la Espuela de Oro ordre orden orde van verdienste order Orden und Ehrenzeichen orden Legión de Honor Légion d'honneur Hederslegionen ordre national de la Légion d'honneur Ehrenlegion Legion of Honour button down buttondown dress shirt camisa de vestir chemise Hemd gilet chaleco Weste väst vest gilet peignoir robe de chambre peignoir Peignoir zwart haar black hair moreno cheveux noirs schwarzhaarig Svart hår pared mur muur mur Mauer wall 1795–1820 clothing mode des années 1795-1820 1795–1820 in westlicher Mode numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer en réserves des peintures du musée du Louvre ou en mouvement temporaire in Painting's depot of the Musée du Louvre or in temporary movement Gemäldedepot des Louvre oder zeitlich unterwegs lieu location locatie ubicación Ort placering title titre Titel titel titel título hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"Suonatore di flauto Suonatore di flauto 長笛演奏家 Joueur de flûte Suonatore di flauto Suonatore di flauto 長笛演奏家 Joueur de flûte Suonatore di flauto Suonatore di flauto 長笛演奏家 Joueur de flûte schilderij van Giorgione peinture de Giorgione painting by Giorgione dipinto di Giorgione pintura de Giorgione quadre de Giorgione cuadro de Giorgione Ջորջոնեի նկար Gemälde von Giorgione image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Borghese Collection collection Borghèse Sammlung Borghese collection Sammlung collection colección collectie samling Giorgione Giorgione Giorgione Giorgione Giorgione Giorgione creator créateur Urheber creador maker skapare inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande Haute Renaissance Alto Renacimiento High Renaissance Hochrenaissance hoogrenaissance Högrenässans mouvement movement Bewegung movimiento stroming rörelse oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Leinwand canvas lienzo toile canvas kanvas hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status décrit à l'URL beskriven på URL beschreven op URL described at URL wird beschrieben in URL descrito en la URL numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer Cantore appassionato Cantore appassionato Chanteur passionné pendant of pendant de Pendant pendant van pendant de pendang till Galerie Borghèse Galería Borghese Galleria Borghese Galleria Borghese Galleria Borghese Galleria Borghese lieu location locatie ubicación Ort placering",portrait
"Beato Jacopone da Todi Beato Jacopone da Todi Painting of Jacopone da Todi Fresken im Dom zu Prato, Szene: Hl. Jacobus von Todi Beato Jacopone da Todi Beato Jacopone da Todi Painting of Jacopone da Todi Fresken im Dom zu Prato, Szene: Hl. Jacobus von Todi Beato Jacopone da Todi Beato Jacopone da Todi Painting of Jacopone da Todi Fresken im Dom zu Prato, Szene: Hl. Jacobus von Todi affresco di Paolo Uccello peinture de Paolo Uccello painting by Paolo Uccello schilderij van Paolo Uccello pintura de Paolo Uccello quadre de Paolo Uccello cuadro de Paolo Uccello pintura de Paolo Uccello image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande Museo di Palazzo Pretorio Museo di Palazzo Pretorio Musée civique de Prato Museo civico (Prato) collection Sammlung collection colección collectie samling Paolo Uccello Paolo Uccello Paolo Uccello Paolo Uccello Paolo Uccello Paolo Uccello creator créateur Urheber creador maker skapare lieu location locatie ubicación Ort placering catégorie Commons Commons category categoría en Commons Commons-kategori Commonscategorie Commons-Kategorie Jacopone da Todi Jacopone da Todi Jacopone da Todi Iacopone da Todi Jacopone da Todi Jacopone da Todi dépeint depicts Motiv representa a beeldt af motiv hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"Діоген (Жером) Diogenes Diogenes Diogène Діоген (Жером) Diogenes Diogenes Diogène Діоген (Жером) Diogenes Diogenes Diogène painting by Jean-Léon Gérôme schilderij van Jean-Léon Gérôme tableau de Jean-Léon Gérôme dipinto di Jean-Léon Gérôme pintura de Jean-Léon Gérôme quadre de Jean-Léon Gérôme cuadro de Jean-Léon Gérôme pintura de Jean-Léon Gérôme pintura de Jean-Léon Gérôme Gemälde von Jean-Léon Gérôme peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av image image imagen bild afbeelding Bild Jean-Léon Gérôme Jean-Léon Gérôme Jean-Léon Gérôme Jean-Léon Gérôme Jean-Léon Gérôme Jean-Léon Gérôme creator créateur Urheber creador maker skapare numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer Walters Art Museum Walters Art Museum Museo Walters Walters Art Museum Walters Art Museum collection Sammlung collection colección collectie samling Leinwand canvas lienzo toile canvas kanvas matériau material used Material material empleado gebruikt materiaal huvudsakligt material oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf Francia Frankrijk Frankreich France France Frankrike pays d’origine country of origin país de origen ursprungsland land van oorsprong Ursprungsland inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande lieu location locatie ubicación Ort placering Diógenes de Sinope Diogenes Diogenes van Sinope Diogène de Sinope Diogenes von Sinope Diogenes of Sinope dépeint depicts Motiv representa a beeldt af motiv étude pour Diogène Study for ""Diogenes"" based on basiert auf basé sur basado en gebaseerd op förlaga Akademische Kunst academic art academicismo art académique Academische kunst Akademisk konst mouvement movement Bewegung movimiento stroming rörelse identifiant RKDimages RKDimages ID RKDimages-identificatiecode RKD-Werkkennung identificador RKDimages Walters Art Museum ID identifiant Walters Art Museum Walters Art Museum-identificatiecode voor object Walters Art Museum ID largeur width Breite breedte ancho bredd hauteur height Höhe hoogte altura höjd dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"Il contadinello Le Petit Paysan The Little Peasant The Little Peasant El jove camperol Junger Bauer Il contadinello Le Petit Paysan The Little Peasant The Little Peasant El jove camperol Junger Bauer Il contadinello Le Petit Paysan The Little Peasant The Little Peasant El jove camperol Junger Bauer tableau d'Amedeo Modigliani painting by Amedeo Modigliani schilderij van Amedeo Modigliani dipinto di Amedeo Modigliani pintura d'Amadeo Modigliani quadre d'Amedeo Modigliani cuadro de Amedeo Modigliani pintura de Amedeo Modigliani Վասիլի Կանդինսկու նկար taolenn gant Amedeo Modigliani pintura d'Amedeo Modigliani Gemälde von Amedeo Modigliani image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani creator créateur Urheber creador maker skapare inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande lantarbetare paysan Landarbeiter peasant campesino Boerenstand dépeint depicts Motiv representa a beeldt af motiv man varón man Mann homme man station assise sitting Sitzen zitten sittande sentado sombrero hatt hoed chapeau Hut hat button down buttondown dress shirt camisa de vestir chemise Hemd gilet chaleco Weste väst vest gilet veste chaqueta jacket Jacke jacka jas pantalón broek byxor pantalon Hose trousers chair chaise silla Stuhl stoel stol pared mur muur mur Mauer wall Tate Tate Tate Tate Tate Tate collection Sammlung collection colección collectie samling National Gallery National Gallery de Londres National Gallery National Gallery National Gallery National Gallery Tate Britain Tate Britain Tate Britain Tate Britain Tate Britain Tate Britain lieu location locatie ubicación Ort placering oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Leinwand canvas lienzo toile canvas kanvas décrit à l'URL beskriven på URL beschreven op URL described at URL wird beschrieben in URL descrito en la URL Niza Nice Nice Nice Nizza Nice lieu de fabrication location of final assembly tillverkningsplats Herstellungsort locatie van fabricage lugar de fabricación Cagnes-sur-Mer Cagnes-sur-Mer Cagnes-sur-Mer Cagnes-sur-Mer Cagnes-sur-Mer Cagnes-sur-Mer Art UK artwork ID Art UK-identificatiecode voor kunstwerk Art UK Kunstwerk-ID identifiant Art UK d'une œuvre d'art identificador BBC Your Paintings de una obra de arte title titre Titel titel titel título hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"Portret Jadwigi Sienkiewiczówny Портрет Ядвиги Сенкевичувны Portret Jadwigi Sienkiewiczówny Портрет Ядвиги Сенкевичувны Portret Jadwigi Sienkiewiczówny Портрет Ядвиги Сенкевичувны taolenn gant Władysław Czachórski dipinto di Władysław Czachórski schilderij van Władysław Czachórski painting by Władysław Czachórski quadre de Ladislaus von Czachorski cuadro de Władysław Czachórski pintura de Władysław Czachórski Gemälde von Ladislaus von Czachorski peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Ladislaus von Czachorski Władysław Czachórski Władysław Czachórski Władysław Czachórski Władysław Czachórski Władysław Czachórski creator créateur Urheber creador maker skapare image image imagen bild afbeelding Bild National Museum in Kielce collection Sammlung collection colección collectie samling lieu location locatie ubicación Ort placering hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Leinwand canvas lienzo toile canvas kanvas inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"La Femme au perroquet Donna con pappagallo Kobieta z papugą La Femme au perroquet Young Lady in 1866 Mulher com papagaio Молода леді у 1866 році La Femme au perroquet Donna con pappagallo Kobieta z papugą La Femme au perroquet Young Lady in 1866 Mulher com papagaio Молода леді у 1866 році La Femme au perroquet Donna con pappagallo Kobieta z papugą La Femme au perroquet Young Lady in 1866 Mulher com papagaio Молода леді у 1866 році schilderij van Édouard Manet peinture d'Édouard Manet painting by Édouard Manet dipinto di Édouard Manet pintura d'Édouard Manet quadre d'Édouard Manet cuadro de Édouard Manet pintura d'Édouard Manet pintura de Édouard Manet Gemälde von Édouard Manet peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Édouard Manet Édouard Manet Édouard Manet Édouard Manet Édouard Manet Édouard Manet creator créateur Urheber creador maker skapare Victorine Meurent Victorine Meurent Victorine Meurent Victorine Meurent Victorine Meurent Victorine Meurent dépeint depicts Motiv representa a beeldt af motiv station debout standing stående Stehen de pie staande houding cheveux roux red hair pelirrojo rothaarig rood haar Rött hår robe Kleid dress klänning jurk vestido pendentif pendant pinjante hanger pendang Anhänger perroquet Eigentliche Papageien Psittacidae Psittacidae papegaaien van Afrika en de Nieuwe Wereld Papegojor perchoir paal voor vogels perch Scheitel raie part scheiding raya femme woman mujer vrouw Frau kvinna image image imagen bild afbeelding Bild Museo Metropolitano de Arte Metropolitan Museum of Art Metropolitan Museum of Art Metropolitan Museum of Art Metropolitan Museum of Art Metropolitan Museum of Art collection Sammlung collection colección collectie samling katalogbeteckning código del catálogo Katalognummer catalogusnummer numéro de catalogue catalog code lieu location locatie ubicación Ort placering inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Leinwand canvas lienzo toile canvas kanvas The Met object ID identifiant Metropolitan Museum of Art The Met-identificatiecode voor object Met Objekt ID identificador Metropolitan Museum of Art catégorie Commons Commons category categoría en Commons Commons-kategori Commonscategorie Commons-Kategorie Google Arts & Culture asset ID identifiant Google Arts & Culture d'un objet Google Arts & Culture-identificatiecode voor object Identifikator für Google Arts & Culture ID del objeto en Google Arts & Culture hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd title titre Titel titel titel título described by source beschreven door bron beschrieben in décrit par descrito en beskriven av källa dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
"Ritratto di Niccolò Vitelli Portrait of Niccolò Vitelli Portrait of Niccolò Vitelli Porträt von Niccolò Vitelli Porträt de Niccolò Vitelli Ritratto di Niccolò Vitelli Portrait of Niccolò Vitelli Portrait of Niccolò Vitelli Porträt von Niccolò Vitelli Porträt de Niccolò Vitelli Ritratto di Niccolò Vitelli Portrait of Niccolò Vitelli Portrait of Niccolò Vitelli Porträt von Niccolò Vitelli Porträt de Niccolò Vitelli schilderij van Luca Signorelli painting by Luca Signorelli peinture de Luca Signorelli dipinto di Luca Signorelli Gemälde von Luca Signorelli pintura de Luca Signorelli quadre de Luca Signorelli cuadro de Luca Signorelli image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Luca Signorelli Luca Signorelli Luca Signorelli Luca Signorelli Luca Signorelli Luca Signorelli creator créateur Urheber creador maker skapare inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande Barber Institute of Fine Arts Barber Institute of Fine Arts Barber Institute of Fine Arts Barber Institute of Fine Arts Barber Institute of Fine Arts collection Sammlung collection colección collectie samling Cook collection Cook collection Cook collection Cook collection Niccolò Vitelli Niccolò Vitelli Niccolò Vitelli Niccolò Vitelli Niccolò Vitelli Niccolò Vitelli dépeint depicts Motiv representa a beeldt af motiv Portrait of Vitellozzo Vitelli Portrait of Vitellozzo Vitelli Porträt von Vitellozzo Vitelli Portrait de Vitellozzo Vitelli pendant of pendant de Pendant pendant van pendant de pendang till Italia Italië Italien Italy Italie Italien pays d’origine country of origin país de origen ursprungsland land van oorsprong Ursprungsland lieu location locatie ubicación Ort placering oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Paneel panel paneel panel panneau de bois largeur width Breite breedte ancho bredd hauteur height Höhe hoogte altura höjd Zeri image ID identifiant Fondation Federico Zeri identificador Zeri de imagen Zeri Bild ID Zeri-identificatiecode voor afbeelding dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status katalogbeteckning código del catálogo Katalognummer catalogusnummer numéro de catalogue catalog code zentrales Thema hoofdonderwerp sujet ou thème principal huvudtema main subject tema principal de la obra",portrait
"Ragazza in camicetta a pois Jeune fille au corsage à pois Girl with a Polka-Dot Blouse Girl with a Polka-Dot Blouse Ragazza in camicetta a pois Jeune fille au corsage à pois Girl with a Polka-Dot Blouse Girl with a Polka-Dot Blouse Ragazza in camicetta a pois Jeune fille au corsage à pois Girl with a Polka-Dot Blouse Girl with a Polka-Dot Blouse schilderij van Amedeo Modigliani painting by Amedeo Modigliani peinture d'Amadeo Modigliani dipinto di Amedeo Modigliani pintura d'Amadeo Modigliani quadre d'Amedeo Modigliani cuadro de Amedeo Modigliani pintura de Amedeo Modigliani Ամեդեո Մոդիլիանիի նկար taolenn gant Amedeo Modigliani pintura d'Amedeo Modigliani Gemälde von Amedeo Modigliani image image imagen bild afbeelding Bild peinture painting pintura Gemälde schilderij målning instance of nature de l'élément ist ein(e) instancia de is een instans av Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani Amedeo Modigliani creator créateur Urheber creador maker skapare inception date de fondation ou de création datum van oprichting of creatie Gründung, Erstellung bzw. Entstehung fecha de fundación o creación datum för grundande eller skapande oil paint Ölfarbe pintura al óleo oljefärg peinture à l'huile olieverf matériau material used Material material empleado gebruikt materiaal huvudsakligt material Leinwand canvas lienzo toile canvas kanvas femme woman mujer vrouw Frau kvinna dépeint depicts Motiv representa a beeldt af motiv station assise sitting Sitzen zitten sittande sentado cheveux roux red hair pelirrojo rothaarig rood haar Rött hår long hair cheveux longs Langes Haar melena lang haar Scheitel raie part scheiding raya chair chaise silla Stuhl stoel stol chemisier blusa Bluse blouse bloes blus skirt falda rok jupe Rock kjol Fondation Barnes Barnes Foundation Barnes Foundation Barnes Foundation Barnes Foundation Barnes Foundation collection Sammlung collection colección collectie samling hauteur height Höhe hoogte altura höjd largeur width Breite breedte ancho bredd numéro d'inventaire inventory number Inventarnummer inventarisnummer número de inventario inventarienummer lieu location locatie ubicación Ort placering Barnes Foundation ID identifiant Fondation Barnes Barnes Foundation-identificatiecode title titre Titel titel titel título dominio público Public domain publiek domein domaine public Gemeinfreiheit public domain copyright status statut des droits d'auteur auteursrechtenstatus Urheberrechtsstatus estatus de los derechos de autor upphovsrättslig status",portrait
